"Sample_ID","NAT_LOC","Sample_type","WaterYear","Site_name","River","Watershed","Lat_dd","Long_dd","Source","Sr8786","SD"
"CWT20436","MOH","otolith_cwt",2008,"Mokelumne River Fish Facility","Mokelumne River","Mokelumne River",38.226497,-121.028054,"This study",0.707900055,NA
"CWT20438","MOH","otolith_cwt",2008,"Mokelumne River Fish Facility","Mokelumne River","Mokelumne River",38.226497,-121.028054,"This study",0.707800992,NA
"CWT20457","MOH","otolith_cwt",2008,"Mokelumne River Fish Facility","Mokelumne River","Mokelumne River",38.226497,-121.028054,"This study",0.7075220665,NA
"CWT23106","MOH","otolith_cwt",2008,"Mokelumne River Fish Facility","Mokelumne River","Mokelumne River",38.226497,-121.028054,"This study",0.707854927,NA
"CWT23125","CNH","otolith_cwt",2010,"Coleman National Fish Hatchery","Battle Creek","Lassen Tributaries",40.398198,-122.145263,"This study",0.7063295115,NA
"CWT23128","MOH","otolith_cwt",2010,"Mokelumne River Fish Facility","Mokelumne River","Mokelumne River",38.226497,-121.028054,"This study",0.7073974945,NA
"CWT23139","MOH","otolith_cwt",2010,"Mokelumne River Fish Facility","Mokelumne River","Mokelumne River",38.226497,-121.028054,"This study",0.7072650275,NA
"CWT23144","MOH","otolith_cwt",2010,"Mokelumne River Fish Facility","Mokelumne River","Mokelumne River",38.226497,-121.028054,"This study",0.707433597,NA
"CWT23203","MOH","otolith_cwt",2010,"Mokelumne River Fish Facility","Mokelumne River","Mokelumne River",38.226497,-121.028054,"This study",0.707161158,NA
"CWT23224","CNH","otolith_cwt",2010,"Coleman National Fish Hatchery","Battle Creek","Lassen Tributaries",40.398198,-122.145263,"This study",0.706555334,NA
"CWT23225","MOH","otolith_cwt",2010,"Mokelumne River Fish Facility","Mokelumne River","Mokelumne River",38.226497,-121.028054,"This study",0.7073545665,NA
"CWT23246","MOH","otolith_cwt",2010,"Mokelumne River Fish Facility","Mokelumne River","Mokelumne River",38.226497,-121.028054,"This study",0.707263059,NA
"CWT23247","MOH","otolith_cwt",2010,"Mokelumne River Fish Facility","Mokelumne River","Mokelumne River",38.226497,-121.028054,"This study",0.7072252615,NA
"CWT23258","MOH","otolith_cwt",2008,"Mokelumne River Fish Facility","Mokelumne River","Mokelumne River",38.226497,-121.028054,"This study",0.7076048565,NA
